Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
A556/3071B,01/01/2019 00:00,00:14:00,0,36,1,0,0,,,,,,,,,,,,,,,61,37
A556/3071B,01/01/2019 00:00,00:29:00,1,26,1,0,0,,,,,,,,,,,,,,,65,27
A556/3071B,01/01/2019 00:00,00:44:00,2,50,0,0,3,,,,,,,,,,,,,,,56,53
A556/3071B,01/01/2019 00:00,00:59:00,3,48,1,0,2,,,,,,,,,,,,,,,53,51
A556/3071B,01/01/2019 00:00,01:14:00,4,39,2,1,0,,,,,,,,,,,,,,,55,42
A556/3071B,01/01/2019 00:00,01:29:00,5,59,2,1,0,,,,,,,,,,,,,,,54,62
A556/3071B,01/01/2019 00:00,01:44:00,6,59,3,1,2,,,,,,,,,,,,,,,57,65
A556/3071B,01/01/2019 00:00,01:59:00,7,51,2,3,1,,,,,,,,,,,,,,,56,57
A556/3071B,01/01/2019 00:00,02:14:00,8,49,4,2,3,,,,,,,,,,,,,,,60,58
A556/3071B,01/01/2019 00:00,02:29:00,9,42,4,0,2,,,,,,,,,,,,,,,61,48
A556/3071B,01/01/2019 00:00,02:44:00,10,31,0,2,0,,,,,,,,,,,,,,,60,33
A556/3071B,01/01/2019 00:00,02:59:00,11,20,0,1,0,,,,,,,,,,,,,,,62,21
A556/3071B,01/01/2019 00:00,03:14:00,12,27,1,0,2,,,,,,,,,,,,,,,61,30
A556/3071B,01/01/2019 00:00,03:29:00,13,16,2,2,1,,,,,,,,,,,,,,,59,21
A556/3071B,01/01/2019 00:00,03:44:00,14,28,0,0,2,,,,,,,,,,,,,,,61,30
A556/3071B,01/01/2019 00:00,03:59:00,15,18,2,0,0,,,,,,,,,,,,,,,58,20
A556/3071B,01/01/2019 00:00,04:14:00,16,23,2,0,0,,,,,,,,,,,,,,,60,25
A556/3071B,01/01/2019 00:00,04:29:00,17,24,0,0,1,,,,,,,,,,,,,,,61,25
A556/3071B,01/01/2019 00:00,04:44:00,18,29,1,0,1,,,,,,,,,,,,,,,59,31
A556/3071B,01/01/2019 00:00,04:59:00,19,26,1,1,0,,,,,,,,,,,,,,,59,28
A556/3071B,01/01/2019 00:00,05:14:00,20,23,0,1,0,,,,,,,,,,,,,,,56,24
A556/3071B,01/01/2019 00:00,05:29:00,21,28,1,0,1,,,,,,,,,,,,,,,61,30
A556/3071B,01/01/2019 00:00,05:44:00,22,33,1,0,1,,,,,,,,,,,,,,,61,35
A556/3071B,01/01/2019 00:00,05:59:00,23,34,1,0,0,,,,,,,,,,,,,,,60,35
A556/3071B,01/01/2019 00:00,06:14:00,24,39,1,0,1,,,,,,,,,,,,,,,60,41
A556/3071B,01/01/2019 00:00,06:29:00,25,57,4,1,3,,,,,,,,,,,,,,,61,65
A556/3071B,01/01/2019 00:00,06:44:00,26,65,3,0,1,,,,,,,,,,,,,,,61,69
A556/3071B,01/01/2019 00:00,06:59:00,27,35,0,1,2,,,,,,,,,,,,,,,58,38
A556/3071B,01/01/2019 00:00,07:14:00,28,54,2,0,3,,,,,,,,,,,,,,,59,59
A556/3071B,01/01/2019 00:00,07:29:00,29,43,2,0,2,,,,,,,,,,,,,,,58,47
A556/3071B,01/01/2019 00:00,07:44:00,30,37,2,2,1,,,,,,,,,,,,,,,57,42
A556/3071B,01/01/2019 00:00,07:59:00,31,32,2,1,5,,,,,,,,,,,,,,,58,40
A556/3071B,01/01/2019 00:00,08:14:00,32,44,3,1,2,,,,,,,,,,,,,,,58,50
